Title,Artist,Language
Can't Smile Without You,Carpenters,English
Can't Stand Me Now,The Libertines,English
Can't Stay Away from You,Gloria Estefan,English
Can't Stop,Red Hot Chili Peppers,English
Can't Stop Loving You,Phil Collins,English
Can't Take My Eyes Off You,Muse,English
Can't Take My Eyes Off You,Gloria Gaynor,English
Can't Take My Eyes Off You,Boys Town Gang,English
CANCER,My Chemical Romance,English
Candy,Paolo Nutini,English
Candy,Cameo,English
Canned Heat,Jamiroquai,English
Captain Jack,Billy Joel,English
Car Wash,Rose Royce,English
Careless Whisper,George Michael,English
Caribbean Blue,Enya,English
Carry Me Back to Old Virginny,Traditional songs,English
Carry On,Fun.,English
Carry You,Jimmy Eat World,English
Cars,Gary Numan,English
Chain of Fools,Aretha Franklin,English
Champagne,Cavo,English
Champagne Supernova,Oasis,English
Change,Taylor Swift,English
Change His Ways,Robert Palmer,English
Charlie,Red Hot Chili Peppers,English
Charmless Man,blur,English
Chasing Cars,Snow Patrol,English
Chelsea Dagger,The Fratellis,English
Cherish the Day,Sade,English
China Grove,The Doobie Brothers,English
China Roses,Enya,English
Christ the Lord Is Risen Today,Gospel Singer,English
Christmas Lights,Coldplay,English
Christmas Must Be Something More,Taylor Swift,English
Clint Eastwood,Gorillaz,English
Clocks,Coldplay,English
Closer,Kylie Minogue,English
Cloudbusting,Kate Bush,English
Club Foot,Kasabian,English
Coffee & TV,blur,English
Coffee Shop,Red Hot Chili Peppers,English
Cold Cold Heart,"Hank Williams, Sr.",English
Come an' Get It,Whitesnake,English
Come and Get Your Love,Real McCoy,English
Come Get Some,Rooster,English
Come Home,Faith Hill,English
Come Home,OneRepublic,English
Come Monday,Jimmy Buffett,English
Come On,Will Young,English
Come Rain or Come Shine,Frank Sinatra,English
Come Sail Away,Styx,English
Come See about Me,The Supremes,English
Come Together,The Beatles,English
Coming Out of the Dark,Gloria Estefan,English
Common People,Pulp,English
Conga,Gloria Estefan & Miami Sound Machine,English
Control,Janet Jackson,English
Copacabana,Barry Manilow,English
Corner of the Earth,Jamiroquai,English
Cornerstone,Arctic Monkeys,English
Cosmic Girl (Radio Edit),Jamiroquai,English
Cosmic Love,Florence + The Machine,English
Cotton-Eyed Joe,Country Standards,English
Could It Be Magic,The Puppini Sisters,English
Counting Stars,OneRepublic,English
Country Girl,Primal Scream,English
Country House,blur,English
Country Road (Single Version),James Taylor,English
Coward of the County,Kenny Rogers,English
Cracklin' Rosie,Neil Diamond,English
Cradle Chain,Soul Asylum,English
Crashed The Wedding,Busted,English
Crawling in the Dark,Hoobastank,English
Crazy,Patsy Cline,English
Crazy,Julio Iglesias,English
Crazy,Michele Anastasio,English
Crazy Beat,blur,English
Crazy for You,Madonna,English
Crazy Rap,Afroman,English
Creep,TLC,English
Creep,Stone Temple Pilots,English
Creeque Alley,The Mamas & The Papas,English
Crocodile Rock,Elton John,English
Cruella De Vil,Dr. John,English
Cruella De Vil,Selena Gomez,English
Crush on You,The Jets,English
Cry,Rihanna,English
Cry for Eternity,DragonForce,English
Cry Me Out,Pixie Lott,English
Crying in the Rain,The Everly Brothers,English
Crying Lightning,Arctic Monkeys,English
Crying My Heart Out Over You,Ricky Skaggs,English
Cupid's Chokehold,Gym Class Heroes,English
Cutt Off,Kasabian,English
Da Ya Think I'm Sexy? (45 edit),Rod Stewart,English
Daddy Sang Bass,Johnny Cash,English
Daisy Jane,America,English
Dakota,Stereophonics,English
"Dance, Dance",Fall Out Boy,English
Dancing in the Dark,Bruce Springsteen,English
Dancing in the Street,Martha & The Vandellas,English
Dani California,Red Hot Chili Peppers,English
Daniel,Elton John,English
Danny Boy,Traditional songs,English
Dark Lady,Cher,English
Darlin',Smokie,English
Day Tripper,The Beatles,English
Days Are Forgotten,Kasabian,English
Days Go by,Keith Urban,English
Days of Wine and Roses,Andy Williams,English
Dead!,My Chemical Romance,English
Dear Darlin',Olly Murs,English
Debaser,Pixies,English
December Will Be Magic Again,Kate Bush,English
Deck the Halls,Traditional songs,English
Deeper Underground,Jamiroquai,English
Deer in the Headlights,Owl City,English
Denial Twist,The White Stripes,English
Desecration Smile,Red Hot Chili Peppers,English
Desolation Row,My Chemical Romance,English
Diana,Paul Anka,English
Did You See Me Coming?,Pet Shop Boys,English
Didn't You Know How Much I Loved You,Kellie Pickler,English
Diggin' on You,TLC,English
Dilemma,Nelly feat. Kelly Rowland,English
Dirty Man,Joss Stone,English
Disco 2000,Pulp,English
Disconnected,Keane,English
Disturbia,Rihanna,English
Do It Again,Steely Dan,English
Do It Like We Used to Do,Jamiroquai,English
"Do Right Woman, Do Right Man",Aretha Franklin,English
Do They Know It's Christmas?,Band Aid II,English
Do You Know What I Mean,Lee Michaels,English
Do You Want to,Franz Ferdinand,English
Do You Want to Know a Secret,The Beatles,English
Doesn't Mean Anything,Alicia Keys,English
Dog Days Are Over,Florence + The Machine,English
Domino Dancing,Pet Shop Boys,English
Don't Ask Me Why,Billy Joel,English
Don't Close Your Eyes,Keith Whitley,English
Don't Forget Me,Red Hot Chili Peppers,English
Don't Forget to Dance,The Kinks,English
Don't Get Me Wrong,The Pretenders,English
Don't Give Up,Peter Gabriel & Kate Bush,English
Don't Go Breaking My Heart,Elton John & Kiki Dee,English
Don't Know Why,Norah Jones,English
Don't Let Me Down,The Beatles,English
Don't Let Me Get Me,P!nk,English
Don't Let the Sun Go Down on Me,Elton John,English
Don't Look Back in Anger,Oasis,English
Don't Sit Down 'Cause I've Moved Your Chair,Arctic Monkeys,English
Don't Stop the Music,Rihanna,English
"Don't Worry, Be Happy",Bobby McFerrin,English
(Don't) Give Hate a Chance,Jamiroquai,English
Doo Wop (That Thing),Lauryn Hill,English
Dosed,Red Hot Chili Peppers,English
Down in the Boondocks,Billy Joe Royal,English
Downbound Train,Bruce Springsteen,English
Downtown,Petula Clark,English
Dr. Beat,Miami Sound Machine,English
Draw a Crowd,Ben Folds Five,English
Dream,Michael Bublé,English
Dream On,Depeche Mode,English
Dream on,Noel Gallagher's High Flying Birds,English
Dream Weaver,Gary Wright,English
Dreams Are More Precious,Enya,English
Drive By,Train,English
Drive My Car,The Beatles,English
Drivin' My Life Away,Eddie Rabbitt,English
Driving South,The Stone Roses,English
Drops of Jupiter (Tell Me),Train,English
Drumming Song,Florence + The Machine,English
Drunk As Cooter Brown,Cassandra Wilson,English
Earthquake,Labrinth feat. Tinie Tempah,English
Easily,Red Hot Chili Peppers,English
Easy,Lionel Richie & The Commodores,English
Easy Livin',Uriah Heep,English
Echo,Trapt,English
Ego,Beyoncé,English
Eight Days a Week,The Beatles,English
Eleanor Put Your Boots on,Franz Ferdinand,English
Eleanor Rigby,The Beatles,English
Electric Avenue,Eddy Grant,English
Elmo's Song,Children's Chorus,English
Emergency on the Planet Earth,Jamiroquai,English
Emotional Rescue,The Rolling Stones,English
Empire,Kasabian,English
Enchanted,Taylor Swift,English
End Credits,Chase & Status & plan B,English
End of a Century,blur,English
Enjoy The Silence,Depeche Mode,English
Enjoy Yourself,Billy Currington,English
Eternal Flame,The Bangles,English
Eve of Destruction,Barry McGuire,English
Even the Nights Are Better,Air Supply,English
Every Kinda People,Robert Palmer,English
Every Little Step,Bobby Brown,English
Every Time We Say Goodbye,Ella Fitzgerald,English
Every Time We Say Goodbye,Rod Stewart,English
Everybody's Got to Learn Sometime,Zucchero,English
Everything,Alanis Morissette,English
Everything Has Changed,Taylor Swift & Ed Sheeran,English
Everything I Own,Bread,English
Everything Is Borrowed,The Streets,English
Everything Is Everything,Lauryn Hill,English
Everything Must Go,Manic Street Preachers,English
Everything She Wants,Wham!,English
Everything She Wants (Unplugged),George Michael,English
Evil Ways,Santana,English
Exhale (Shoop Shoop),Whitney Houston,English
Eye of the Tiger,Survivor,English
Eyes Open,Taylor Swift,English
Face Down,The Red Jumpsuit Apparatus,English
Fading,Rihanna,English
Failure's Not Flattering,New Found Glory,English
Fairytale,Sara Bareilles,English
Faith,George Michael,English
Fake Tales of San Francisco,Arctic Monkeys,English
Fall,Justin Bieber,English
Fallen Embers,Enya,English
Fallin',Alicia Keys,English
Falling,Julee Cruise,English
Falling in Love,Taio Cruz,English
Falling in Love (Uh-Oh),Gloria Estefan,English
False Pretense,The Red Jumpsuit Apparatus,English
Fame,Irene Cara,English
Fanmail,TLC,English
Fantasy,"Earth, Wind & Fire",English
Farewell,Rihanna,English
Fashion,Lady Gaga,English
Father Figure,George Michael,English
Feel So Close,Calvin Harris,English
Feel So Good (Knee Deep Remix),Jamiroquai,English
Feels Just Like It Should,Jamiroquai,English
Fell in Love with a Boy,Joss Stone,English
Fifteen,Taylor Swift,English
Fight for This Love,Cheryl Cole,English
Finally Free,Dream Theater,English
Finish Line,Yasmin,English
Fire,Bruce Springsteen,English
Fire and Rain,James Taylor,English
Fire with Fire,Scissor Sisters,English
Fireflies,Owl City,English
First of the Gang to Die,Morrissey,English
Five Minutes,Lorrie Morgan,English
Fix You,Coldplay,English
Fix You,Boyce Avenue feat. Tyler Ward,English
Flashback,Calvin Harris,English
Flashing Lights,Kanye West feat. Dwele,English
Flavor of the Weak,American Hi-Fi,English
Flora's Secret,Enya,English
Fly to Your Heart,Selena Gomez,English
For He's a Jolly Good Fellow,Traditional songs,English
For the Beauty of the Earth,Gospel Singer,English
For Tomorrow,blur,English
Forever & Always,Taylor Swift,English
Forever in Blue Jeans,Neil Diamond,English
Forever Is Over,The Saturdays,English
Forever Young,Bob Dylan,English
Forget Him,Bobby Rydell,English
Fortune Faded,Red Hot Chili Peppers,English
Foundations,Kate Nash,English
Four Strong Winds,Neil Young,English
Foxy Lady,The Jimi Hendrix Experience,English
Fragile Tension,Depeche Mode,English
Freak,Chic,English
Freak on a Leash,Korn,English
Free Bird,Lynyrd Skynyrd,English
Freedom '90,George Michael,English
Friends,Bette Midler,English
Friends,Elton John,English
From Above,Ben Folds Five & Nick Hornby,English
From Russia with Love,Matt Monro,English
From the Heart,Hoobastank,English
Frosty the Snowman,Jazz Standards,English
Galaxies,Owl City,English
Gambler,Madonna,English
Games People Play,Inner Circle,English
Gee Whiz,Carla Thomas,English
Gentle on My Mind,Dean Martin,English
Gentle On My Mind,Glen Campbell,English
Georgia in a Jug,Blake Shelton,English
Get Back,The Beatles & Billy Preston,English
Get on Top,Red Hot Chili Peppers,English
Get the Party Started,P!nk,English
Get the Party Started,Dick Brave & The Backbeats,English
Get Together,The Youngbloods,English
Get Up (I Feel Like Being a) Sex Machine,James Brown,English
Getaway,"Earth, Wind & Fire",English
Gimme Back My Bullets,Lynyrd Skynyrd,English
Gimme Three Steps,Lynyrd Skynyrd,English
Girl,The Beatles,English
Girl with One Eye,Florence + The Machine,English
Girls & Boys,Good Charlotte,English
Girls and Boys,blur,English
Girls Just Wanna Have Fun,Cyndi Lauper,English
Give a Little More,Maroon 5,English
Give It Away,Red Hot Chili Peppers,English
Give Judy My Notice,Ben Folds,English
Give Love on Christmas Day,The Jackson 5,English
Gives You Hell,The All-American Rejects,English
Giving Him Something He Can Feel,En Vogue,English
Glory Days,Bruce Springsteen,English
Go All the Way,The Raspberries,English
God Is a DJ,P!nk,English
God Must Be Busy,Brooks & Dunn,English
God Put a Smile Upon Your Face,Coldplay,English
"God Rest Ye Merry, Gentlemen",Christmas Carol,English
Goin' Crazy!,David Lee Roth,English
Gold Cobra,Limp Bizkit,English
Gold Digger,Kanye West feat. Jamie Foxx,English
Goldfinger,Shirley Bassey,English
Gone Country,Alan Jackson,English
Gonna Get Over You,Sara Bareilles,English
Good King Wenceslas,Christmas Carol,English
Good Thing,Fine Young Cannibals,English
Good Vibrations,The Beach Boys,English
Goodbye Girl,Rumer,English
Goodbye Mr A,The Hoosiers,English
"Goodbye Sam, Hello Samantha",Cliff Richard,English
Goodbye Time,Conway Twitty,English
Goodbye to You,Michelle Branch,English
Goodbye Yellow Brick Road,Elton John,English
Goodnight Saigon,Billy Joel,English
Got to Be Certain,Kylie Minogue,English
Got to Get You into My Life,"Earth, Wind & Fire",English
Gotta Find You,Jonas Brothers,English
Gotta Pull Myself Together,The Nolans,English
Gotta Serve Somebody,Bob Dylan,English
Gracie,Ben Folds,English
Greed,Godsmack,English
Greensleeves,Traditional songs,English
Grind,Alice In Chains,English
Guilt,Nero,English
Guy What Takes His Time,Christina Aguilera,English
"Gypsys, Tramps & Thieves",Cher,English
Half of Me,Rihanna,English
Half of My Heart,John Mayer feat. Taylor Swift,English
Half the Man,Jamiroquai,English
Handlebars,Flobots,English
Hands Clean,Alanis Morissette,English
Hands Down,Dashboard Confessional,English
Happy Birthday,Stevie Wonder,English
Happy Birthday Sweet Sixteen,Neil Sedaka,English
Hard,Rihanna feat. Young Jeezy,English
Hard Candy Christmas,Dolly Parton,English
Hard Day,George Michael,English
Hard Luck Woman,Kiss,English
Hard to Explain,The Streets,English
Harder to Breathe,Maroon 5,English
Haunted,Taylor Swift,English
Have I Told You Lately,Rod Stewart,English
Have You Ever Really Loved a Woman?,Bryan Adams,English
Have Yourself a Merry Little Christmas,Christina Aguilera,English
Have Yourself a Merry Little Christmas,Luther Vandross,English
Have Yourself a Merry Little Christmas,Bing Crosby,English
He Stopped Loving Her Today,George Jones,English
Head on Collision,New Found Glory,English
Head Shoulders Knees and Toes,Children's Chorus,English
Heal Over,KT Tunstall,English
Heal The World,Michael Jackson,English
Heart,Pet Shop Boys,English
Heart and Soul,Huey Lewis & The News,English
Heart and Soul,T'Pau,English
Heartbreak Down,P!nk,English
Heartbreaker,Pat Benatar,English
Heaven,Emeli Sandé,English
Heaven,Depeche Mode,English
Heaven Knows,Luther Vandross,English
Heavy in Your Arms,Florence + The Machine,English
Helicopter,Bloc Party,English
Hello Goodbye,The Beatles,English
Hello Josephine,Fats Domino,English
Hello Seattle,Owl City,English
Hello World,Lady Antebellum,English
"Help Me, Rhonda",The Beach Boys,English
Help the Aged,Pulp,English
Help!,The Beatles,English
Helter Skelter,The Beatles,English
Here Comes That Rainy Day Feeling Again,The Fortunes,English
Here Comes Your Man,Pixies,English
Here with Me,Dido,English
Here's Some Love,Tanya Tucker,English
"Here, There and Everywhere",The Beatles,English
Hero,Mariah Carey,English
Hey Baby,DJ Ötzi,English
Hey Jude,The Beatles,English
Hey Now,Cyndi Lauper,English
"Hey, Soul Sister",Train,English
Hiding My Heart,Adele,English
High,James Blunt,English
Higher Ground,Stevie Wonder,English
Hit or Miss,New Found Glory,English
Hitchin' a Ride,Vanity Fare,English
Hitz,Chase & Status feat. Tinie Tempah,English
Hoedown Throwdown,Miley Cyrus,English
Hold Me Now,Thompson Twins,English
Hold On,KT Tunstall,English
Hold On,Good Charlotte,English
Hold On,Wilson Phillips,English
Holding Out for a Hero,Jennifer Saunders,English
Hole Hearted,Extreme,English
Hole in the Head,Sugababes,English
Holiday,Madonna,English
Holler,Spice Girls,English
Hollow,Pantera,English
Hollywood,Marina and The Diamonds,English
"Holy, Holy, Holy",Gospel Singer,English
Honesty,Billy Joel,English
Honky Cat,Elton John,English
Hooked on a Feelin',Baha Men,English
Hound Dog,Elvis Presley,English
House of Wolves,My Chemical Romance,English
How Blue,Reba McEntire,English
How Come You're Not Here,P!nk,English
How Do I Live,LeAnn Rimes,English
How Do You Do It?,Gerry & The Pacemakers,English
How Firm a Foundation,Gospel Singer,English
How High the Moon,Ella Fitzgerald,English
How Much Is That Doggie In the Window,Children's Chorus,English
How Sweet It Is,Michael Bublé,English
How to Save a Life,The Fray,English
Howl,Florence + The Machine,English
Human Nature,Michael Jackson,English
Human Touch,Bruce Springsteen,English
Humpty Dumpty,Nursery Rhyme,English
Hungry Heart,Bruce Springsteen,English
Hunting High and Low,a-ha,English
Hurts So Good,John Mellencamp,English
Hush,Deep Purple,English
I Almost Do,Taylor Swift,English
I Believe (When I Fall in Love It Will Be Forever),Josh Groban,English
I Bet You Look Good on the Dancefloor,Arctic Monkeys,English
"I Can't Help Myself (Sugar Pie, Honey Bunch)",The Four Tops,English
I Can't Make Music,Carpenters,English
I Can't Stop Loving You,Ray Charles,English
I Care,Beyoncé,English
I Don't Feel Like Dancin',Scissor Sisters,English
I Don't Know a Thing about Love (The Moon Song),Conway Twitty,English
I Don't Think I Love You,Hoobastank,English
I Don't Wanna Dance,Eddy Grant,English
I Don't Want to Hear Anymore,The Eagles,English
I Don't Want to Miss a Thing,Aerosmith,English
I Drove All Night,Cyndi Lauper,English
I Feel Loved,Depeche Mode,English
I Feel the Earth Move,Carole King,English
I Fought the Law,Bobby Fuller Four,English
I Fought the Law,Green Day,English
I fought the law,The Clash,English
I Found Someone,Cher,English
I Get a Kick Out of You,Frank Sinatra,English
I Hear Music,Billie Holiday,English
I Heard It Through the Grapevine,Creedence Clearwater Revival,English
I Heard It Through the Grapevine,Marvin Gaye,English
"I Hope, I Think, I Know",Oasis,English
I Just Called To Say I Love You,Stevie Wonder,English
(I Just) Died in Your Arms,Cutting Crew,English
I Love a Rainy Night,Eddie Rabbitt,English
I Love My Friend,Charlie Rich,English
I Love Paris,Vanessa Paradis,English
I Love the Nightlife,Alicia Bridges,English
I Need This,Jessie J,English
I Never Loved a Man (The Way I Loved You),Aretha Franklin,English
I Put a Spell on You,Creedence Clearwater Revival,English
I Put a Spell on You,Bette Midler,English
I Put a Spell On You,Jeff Beck feat. Joss Stone,English
I Saw the Light,"Hank Williams, Sr.",English
I Saw Three Ships,Christmas Carol,English
I Should Be So Lucky,Kylie Minogue,English
I Should Have Known Better,The Beatles,English
I Stand Alone,Godsmack,English
I Still Remember,Bloc Party,English
I Surrender,Céline Dion,English
I Think I'm in Love With You,Jessica Simpson,English
I Think We're Alone Now,Tiffany,English
I Told You So,Keith Urban,English
I Try to Think about Elvis,Patty Loveless,English
I Walk Beside You,Dream Theater,English
I Wanna Be Where You Are,The Jackson 5,English
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,English
I Want to Hold Your Hand,The Beatles,English
I Want You,Bob Dylan,English
I Want You,Faith Hill,English
I Want You Back,The Jackson 5,English
I Want Your Sex,George Michael,English
I Was Born to Love You,Queen,English
I Was Here,Beyoncé,English
I Was Made for Lovin' You,Kiss,English
I Will Follow You into the Dark,Death Cab For Cutie,English
I Will Still Be Laughing,Soul Asylum,English
I Will Survive,Gloria Gaynor,English
I Wish,Stevie Wonder,English
I Won't Hold You Back,Toto,English
I Won't Last a Day without You,Carpenters,English
I Would've Loved You Anyway,Trisha Yearwood,English
I Write the Songs,Barry Manilow,English
I'd Rather Be in Love,Michelle Branch,English
I'd Wait for Life,Take That,English
I'll Be Home for Christmas,Amy Grant,English
I'll Be There,The Jackson 5,English
I'll Make Love to You,Boyz II Men,English
I'll Never Let You Go (Little Darlin'),Elvis Presley,English
I'll Never Love This Way Again,Dionne Warwick,English
I'm a Believer,The Monkees,English
I'm All Over It,Jamie Cullum,English
I'm Coming Out,Diana Ross,English
I'm Counting on You,Elvis Presley,English
I'm Gonna Be (500 Miles),The Proclaimers,English
I'm Gonna Be Strong,Cyndi Lauper,English
I'm in the Mood for Dancing,The Nolans,English
I'm in the Mood for Love,Rod Stewart,English
I'm into You,Jennifer Lopez feat. Lil Wayne,English
I'm Just an Old Chunk of Coal,John Anderson,English
I'm Not Alone,Calvin Harris,English
I'm Not in Love,10cc,English
I'm Not Okay (I Promise),My Chemical Romance,English
I'm on Fire,Bruce Springsteen,English
I'm Outta Time,Oasis,English
I'm Sorry,Brenda Lee,English
I'm Still Standing,Elton John,English
I'm Walkin',Fats Domino,English
I'm With Stupid,Pet Shop Boys,English
I'm Your Baby Tonight,Whitney Houston,English
I'm Your Man,Wham!,English
I've Been Losing You,a-ha,English
I've Got You Under My Skin,Frank Sinatra,English
I've Got You Under My Skin,Michael Bublé,English
I've Still Got My Health,Bette Midler,English
I.D.,Kasabian,English
Ice Cream Freeze (Let's Chill),Miley Cyrus,English
Icky Thump,The White Stripes,English
If,Bread,English
If,Jane Monheit,English
If I Ain't Got You,Alicia Keys,English
If I Could Be Where You Are,Enya,English
If I Fell,The Beatles,English
If I Give My Heart to You,Doris Day,English
If I Had a Gun,Noel Gallagher's High Flying Birds,English
If I Needed You,Emmylou Harris & Don Williams,English
If I Never See Your Face Again,Maroon 5,English
If It Wasn't for Bad,Elton John & Leon Russell,English
If Only,Hoobastank,English
If She Knew What She Wants,The Bangles,English
If This Isn't Love,Jennifer Hudson,English
If We Hold on Together,Diana Ross,English
If We Were a Movie,Miley Cyrus,English
(If You Can't Sing It) You'll Have to Swing It,Ella Fitzgerald,English
If You Don't Know Me By Now,Seal,English
If You Don't Know Me by Now,Simply Red,English
If You Had My Love,Jennifer Lopez,English
If You Tolerate This Your Children Will Be Next,Manic Street Preachers,English
If You Wanna Get to Heaven,The Ozark Mountain Daredevils,English
If You Want My Love,Cheap Trick,English
If You Want to Be Good Girl (Get Yourself a Bad Boy),Backstreet Boys,English
If You're Not The One,Daniel Bedingfield,English
Imma Star (Everywhere We Are),Jeremih,English
In and Out of Love,Bon Jovi,English
In My Life,The Beatles,English
In My Place,Coldplay,English
"In the Cool, Cool, Cool of the Evening",Bing Crosby,English
In the Ghetto,Elvis Presley,English
Innocent,Taylor Swift,English
Inside of You,Hoobastank,English
Interstate Love Song,Stone Temple Pilots,English
Into the Fire,Dokken,English
Is It a Crime,Sade,English
Is It Any Wonder?,Keane,English
Island Girl,Elton John,English
Isn't She Lovely,Stevie Wonder,English
It Ain't Me Babe,Bob Dylan,English
It Ain't Me Babe,Johnny Cash & June Carter,English
It Came Upon a Midnight Clear,Christmas Carol,English
It Don't Mean a Thing (If It Ain't Got That Swing),Eva Cassidy,English
It Don't Mean a Thing (If It Ain't Got That Swing),The Puppini Sisters,English
It Ends Tonight,The All-American Rejects,English
It Might as Well Rain until September,Carole King,English
It Never Rains (In Southern California),Tony! Toni! Toné!,English
It Only Takes a Minute,Tavares,English
It Started with a Kiss,Hot Chocolate,English
It Won't Be Long,The Beatles,English
It's a Man's Man's Man's World,James Brown,English
It's a Sin,Pet Shop Boys,English
It's All Coming Back to Me Now,Céline Dion,English
It's All Coming Back to Me Now (45 edit),Céline Dion,English
It's in the Way That You Use It,Eric Clapton,English
It's My Life,The Animals,English
It's Not Love,Dokken,English
It's Only Rock and Roll,The Rolling Stones,English
It's Raining Men,Geri Halliwell,English
It's Still Rock and Roll to Me,Billy Joel,English
It's Time,Imagine Dragons,English
It's Too Late,Gloria Estefan,English
It's Too Late,Carole King,English
Jack and Diane,John Mellencamp,English
Jackie Blue,The Ozark Mountain Daredevils,English
Java Jive,The Puppini Sisters,English
Jazzman,Carole King,English
Jealousy,Will Young,English
Jessie's Girl,Rick Springfield,English
Jesus Shall Reign,Gospel Singer,English
Jesus to a Child,George Michael,English
Jezebel,Sade,English
Jingle Bells,Traditional songs,English
John Jacob Jingleheimer Schmidt,Children's Chorus,English
Joy to the World,Children's Chorus,English
Joy to the World,Three Dog Night,English
Judas,Lady Gaga,English
Jump,Girls Aloud,English
Jupiter,"Earth, Wind & Fire",English
Just Another Day,Oingo Boingo,English
Just Another Dream,Cathy Dennis,English
Just Can't Get Enough,Depeche Mode,English
Just Can't Get Enough,The Saturdays,English
Just Dance,Lady Gaga & Colby O'Donis,English
Just Friends,Amy Winehouse,English
Just Give Me a Reason,P!nk,English
Just Like a Pill,Cascada,English
Just Like a Pill,P!nk,English
Just One,Hoobastank,English
Just One of Those Things,Frank Sinatra,English
Just the Way You Are,Billy Joel,English
Just the Way You Are,Barry White,English
Just Tonight,Jimmy Eat World,English
Katy On a Mission,Katy B,English
Keep on Running,The Spencer Davis Group,English
Keeping the Faith,Billy Joel,English
Keeping the Love Alive,Air Supply,English
Kid Charlemagne,Steely Dan,English
King of Anything,Sara Bareilles,English
King of Sorrow,Sade,English
King of the Mountain,Bon Jovi,English
Kiss a Girl,Keith Urban,English
Kiss Me,Sixpence None the Richer,English
Kiss of Life,Sade,English
Kiss the Stars,Pixie Lott,English
Kiss You All Over,Exile,English
Kissing a Fool,Michael Bublé,English
Knock Me Down,Red Hot Chili Peppers,English
Knock on Wood,Amii Stewart,English
Knockin' on Heaven's Door,Eric Clapton,English
Knockin' on Heaven's Door,Guns N' Roses,English
Knockin' on Heaven's Door,Bob Dylan,English
Knockin' on Heaven's Door,Avril Lavigne,English
Kokomo,The Beach Boys,English
Kryptonite,3 Doors Down,English
L'amour Looks Something Like You,Kate Bush,English
L.S.F. (Lost Souls Forever),Kasabian,English
Ladies Night,Atomic Kitten,English
Lady,D'Angelo,English
Lady in Black,Uriah Heep,English
Lady Madonna,The Beatles,English
Land of a Thousand Words,Scissor Sisters,English
Landing in London,3 Doors Down & Bob Seger,English
Last Christmas,Taylor Swift,English
Last Christmas,Wham!,English
(Last Night) I Didn't Get to Sleep at All,The 5th Dimension,English
Last Nite,The Strokes,English
Last Song,The All-American Rejects,English
Last Time,Labrinth,English
Last Train to Clarksville,The Monkees,English
Last Trip (In Flight),Kasabian,English
Latch,Disclosure feat. Sam Smith,English
Lately,Stevie Wonder,English
Lay Lady Lay,Bob Dylan,English
Lean on Me,Michael Bolton,English
Leave a Tender Moment Alone,Billy Joel,English
Leave Before the Lights Come On,Arctic Monkeys,English
Leave Me Alone (I'm Lonely),P!nk,English
Leaving,Pet Shop Boys,English
Let Her Go,Passenger,English
Let It Be,The Beatles,English
Let It Go,Cavo,English
Let It Rock,Kevin Rudolf feat. Lil Wayne,English
Let Me Be the One,Carpenters,English
Let Me Go,3 Doors Down,English
Let the Sun Shine,Labrinth,English
Let's Face the Music and Dance,Robbie Williams,English
Let's Get Crazy,Miley Cyrus,English
Let's Make a Night to Remember,Bryan Adams,English
Letters from Home,John Michael Montgomery,English
Life,Des'ree,English
Lifestyles of the Rich and Famous,Good Charlotte,English
Lift Me Up,Christina Aguilera,English
Lights on,Katy B feat. Ms. Dynamite,English
Like a Hobo,Charlie Winston,English
Like a Rolling Stone,Bob Dylan,English
Like a Virgin,Madonna,English
Like a Virgin,Richard Cheese,English
Like Eating Glass,Bloc Party,English
Like the Way I Do,Melissa Etheridge,English
Listen to the Music,The Doobie Brothers,English
Listen to Your Friends,New Found Glory,English
Little Devil,Neil Sedaka,English
Little L,Jamiroquai,English
Little Lion Man,Mumford & Sons,English
Little Talks,Of Monsters and Men,English
Little Willy,Sweet,English
Little Wing,Sting,English
Live Forever,Oasis,English
Livin' Libido Loco,Zebrahead,English
Living in America,James Brown,English
Living On an Island,Status Quo,English
Locked Up,Akon,English
Lollipop,MIKA,English
London Bridge (Is Falling Down),Children's Chorus,English
Lonely People,America,English
Long Long Journey,Enya,English
Long Train Runnin',The Doobie Brothers,English
Long Way to Happy,P!nk,English
Look at Yourself,Uriah Heep,English
Look Heart No Hands,Randy Travis,English
Look in Her Eyes,Vince Neil,English
Loretta,Norah Jones,English
Lost in Love,Air Supply,English
Louie Louie,Iggy Pop,English
Louisiana Saturday Night,Mel McDaniel,English
Love Ain't No Stranger,Whitesnake,English
Love Foolosofhy,Jamiroquai,English
Love Gun,Kiss,English
Love Hurts,Cher,English
Love Hurts,Nazareth,English
Love Is a Losing Game,Amy Winehouse,English
Love Is Stronger Than Pride,Sade,English
Love Letters,Miranda Lambert,English
Love Machine,Girls Aloud,English
Love Me,Elvis Presley,English
Love Me Like a Man,Bonnie Raitt,English
Love Me Tomorrow,Chicago,English
Love of My Life,Brian McKnight,English
Love Really Hurts,Baha Men,English
Love Somebody,Rick Springfield,English
Love Song,Sara Bareilles,English
Love Story,Taylor Swift,English
Love Today,MIKA,English
Love Will Tear Us Apart,Joy Division,English
Love Won't Wait,Bobby Caldwell,English
Lover for Life,Whitney Houston,English
"Lover, Lover",Jerrod Niemann,English
Lovers in Japan,Coldplay,English
Loving You,Paolo Nutini,English
Lucid Dreams,Franz Ferdinand,English
Lucille,Kenny Rogers,English
Lucy in the Sky With Diamonds,The Beatles,English
